lat,lon,distance,laser1,laser2,laser3,laser4,laser5,laser6
52.3992,4.6844,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.3992,4.6844,-0.0,1,1,0,0,0,0
52.3992,4.6844,0.009,1,1,1,0,0,0
52.3992,4.6844,0.011,1,1,0,0,0,0
52.3992,4.6844,0.232,1,1,1,0,0,0
52.3992,4.6844,0.234,1,1,0,0,0,0
52.3992,4.6844,0.25,1,1,1,0,0,0
52.3992,4.6844,0.257,1,1,0,0,0,0
52.3992,4.6844,0.259,1,1,1,0,0,0
52.3992,4.6844,0.261,1,1,0,0,0,0
52.3992,4.6844,0.262,1,1,1,0,0,0
52.3992,4.6844,0.267,1,1,0,0,0,0
52.3992,4.6844,0.29,1,1,1,0,0,0
52.3992,4.6844,0.306,1,1,0,0,0,0
52.3992,4.6844,0.307,1,1,1,0,0,0
52.3992,4.6844,0.308,1,1,1,1,0,0
52.3992,4.6844,0.315,1,1,1,0,0,0
52.3992,4.6844,0.317,1,1,1,1,0,0
52.3992,4.6844,0.318,1,1,1,0,0,0
52.3992,4.6844,0.338,1,1,0,0,0,0
52.3992,4.6844,0.339,1,1,0,1,0,0
52.3992,4.6844,0.349,1,1,0,0,0,0
52.3992,4.6844,0.364,1,1,1,0,0,0
52.3992,4.6844,0.369,1,1,0,0,0,0
52.3992,4.6844,0.374,1,1,1,0,0,0
52.3992,4.6844,0.375,1,1,0,0,0,0
52.3992,4.6844,0.396,1,1,1,0,0,0
52.3992,4.6844,0.397,1,1,0,0,0,0
52.3992,4.6844,0.398,1,1,1,0,0,0
52.3992,4.6844,0.4,1,1,0,0,0,0
52.3992,4.6844,0.412,1,1,1,0,0,0
52.3992,4.6844,0.414,1,1,0,0,0,0
52.3992,4.6844,0.424,1,1,1,0,0,0
52.3992,4.6844,0.426,1,1,0,0,0,0
52.3992,4.6844,0.464,1,1,1,0,0,0
52.3992,4.6844,0.467,1,1,0,0,0,0
52.3992,4.6844,0.484,1,1,1,0,0,0
52.3992,4.6844,0.485,1,1,0,0,0,0
52.3992,4.6844,0.491,1,1,1,0,0,0
