lat,lon,distance,laser1,laser2,laser3,laser4,laser5,laser6
0.0,0.0,0.0,0,0,0,0,0,0
51.5385,5.1739,0.156,0,1,0,0,0,0
51.5385,5.1739,0.157,0,0,0,0,0,0
51.5385,5.1739,0.158,0,1,0,0,0,0
51.5385,5.1739,0.16,0,0,0,0,0,0
51.5385,5.1739,0.162,1,0,0,0,0,0
51.5385,5.1739,0.164,0,0,0,0,0,0
51.5385,5.1739,0.165,1,0,0,0,0,0
51.5385,5.1739,0.167,0,0,0,0,0,0
51.5385,5.1739,0.168,1,0,0,0,0,0
51.5385,5.1739,0.169,0,0,0,0,0,0
51.5385,5.1739,0.376,0,1,0,0,0,0
51.5385,5.1739,0.378,0,0,0,0,0,0
51.5385,5.1739,0.382,1,0,0,0,0,0
51.5385,5.1739,0.384,0,0,0,0,0,0
51.5385,5.1739,0.386,1,0,0,0,0,0
51.5385,5.1739,0.389,0,0,0,0,0,0
51.5385,5.1739,0.471,1,0,0,0,0,0
51.5385,5.1739,0.472,0,0,0,0,0,0
51.5385,5.1739,0.478,1,0,0,0,0,0
51.5385,5.1739,0.481,0,0,0,0,0,0
51.5385,5.1739,0.482,1,0,0,0,0,0
51.5385,5.1739,0.486,0,0,0,0,0,0
51.5385,5.1739,0.488,1,0,0,0,0,0
51.5385,5.1739,0.488,1,1,0,0,0,0
51.5385,5.1739,0.491,0,1,0,0,0,0
51.5385,5.1739,0.492,0,0,0,0,0,0
51.5385,5.1739,0.492,0,1,0,0,0,0
51.5385,5.1739,0.496,0,0,0,0,0,0
51.5385,5.1739,0.498,0,0,1,0,0,0
51.5385,5.1739,0.498,0,1,1,0,0,0
51.5385,5.1739,0.5,0,1,0,0,0,0
51.5385,5.1739,0.502,0,0,0,0,0,0
51.5385,5.1739,0.502,0,0,1,0,0,0
51.5385,5.1739,0.506,0,0,0,0,0,0
51.5385,5.1739,0.508,0,0,1,0,0,0
51.5385,5.1739,0.511,0,0,0,1,0,0
51.5385,5.1739,0.513,0,0,0,0,0,0
51.5385,5.1739,0.517,0,0,0,1,0,0
51.5385,5.1739,0.519,0,0,0,0,0,0
51.5385,5.1739,0.587,0,0,1,0,0,0
51.5385,5.1739,0.588,0,0,0,0,0,0
51.5385,5.1739,0.593,0,0,1,0,0,0
51.5385,5.1739,0.594,0,0,0,0,0,0
51.5385,5.1739,0.597,0,1,0,0,0,0
51.5385,5.1739,0.602,0,0,0,0,0,0
51.5385,5.1739,0.603,0,1,0,0,0,0
51.5385,5.1739,0.608,0,0,0,0,0,0
51.5385,5.1739,0.611,1,0,0,0,0,0
51.5385,5.1739,0.615,0,0,0,0,0,0
51.5385,5.1739,0.617,1,0,0,0,0,0
51.5385,5.1739,0.62,0,0,0,0,0,0
51.5385,5.1739,0.623,1,0,0,0,0,0
51.5385,5.1739,0.626,0,0,0,0,0,0
51.5385,5.1739,0.712,1,0,0,0,0,0
51.5385,5.1739,0.715,0,0,0,0,0,0
51.5385,5.1739,0.718,1,0,0,0,0,0
51.5385,5.1739,0.722,0,0,0,0,0,0
51.5385,5.1739,0.724,0,1,0,0,0,0
51.5385,5.1739,0.725,1,1,0,0,0,0
51.5385,5.1739,0.727,1,0,0,0,0,0
51.5385,5.1739,0.728,0,0,0,0,0,0
51.5385,5.1739,0.73,0,1,0,0,0,0
51.5385,5.1739,0.734,0,0,0,0,0,0
51.5385,5.1739,0.737,0,1,0,0,0,0
51.5385,5.1739,0.741,0,0,0,0,0,0
51.5385,5.1739,0.742,0,0,1,0,0,0
51.5385,5.1739,0.745,0,0,0,0,0,0
51.5385,5.1739,0.749,0,0,1,0,0,0
51.5385,5.1739,0.752,0,0,0,0,0,0
51.5385,5.1739,0.859,0,0,0,1,0,0
51.5385,5.1739,0.863,0,0,0,0,0,0
51.5385,5.1739,0.867,0,0,0,1,0,0
51.5385,5.1739,0.868,0,1,0,1,0,0
51.5385,5.1739,0.87,0,1,1,1,0,0
51.5385,5.1739,0.871,0,1,1,0,0,0
51.5385,5.1739,0.876,0,0,1,0,0,0
51.5385,5.1739,0.877,0,0,0,0,0,0
51.5385,5.1739,0.878,0,0,1,0,0,0
51.5385,5.1739,0.884,0,0,0,0,0,0
51.5385,5.1739,0.886,0,0,1,0,0,0
51.5385,5.1739,0.886,0,1,1,0,0,0
51.5385,5.1739,0.888,1,1,1,0,0,0
51.5385,5.1739,0.89,1,1,0,0,0,0
51.5385,5.1739,0.895,0,1,0,0,0,0
51.5385,5.1739,0.906,1,1,0,0,0,0
51.5385,5.1739,0.908,1,0,0,0,0,0
51.5385,5.1739,0.913,1,1,0,0,0,0
51.5385,5.1739,0.918,1,0,0,0,0,0
51.5385,5.1739,0.929,0,0,0,0,0,0
51.5385,5.1739,0.936,1,0,0,0,0,0
51.5385,5.1739,0.944,0,0,0,0,0,0
51.5385,5.1739,0.976,1,0,0,0,0,0
51.5385,5.1739,0.982,0,0,0,0,0,0
51.5385,5.1739,0.99,1,0,0,0,0,0
51.5385,5.1739,0.996,1,1,0,0,0,0
51.5385,5.1739,1.0,1,0,0,0,0,0
51.5385,5.1739,1.004,0,0,0,0,0,0
51.5385,5.1739,1.005,1,0,0,0,0,0
51.5385,5.1739,1.006,1,1,0,0,0,0
51.5385,5.1739,1.01,0,1,0,0,0,0
51.5385,5.1739,1.011,0,0,0,0,0,0
51.5385,5.1739,1.012,0,1,0,0,0,0
51.5385,5.1739,1.018,0,0,0,0,0,0
51.5385,5.1739,1.019,0,1,0,0,0,0
51.5385,5.1739,1.019,0,1,1,0,0,0
51.5385,5.1739,1.022,0,1,0,0,0,0
51.5385,5.1739,1.024,0,0,0,0,0,0
51.5385,5.1739,1.025,0,0,1,0,0,0
51.5385,5.1739,1.029,0,0,0,0,0,0
51.5385,5.1739,1.032,0,0,1,0,0,0
51.5385,5.1739,1.033,0,1,1,0,0,0
51.5385,5.1739,1.035,0,1,1,1,0,0
51.5385,5.1739,1.035,0,0,1,1,0,0
51.5385,5.1739,1.036,0,0,0,1,0,0
51.5385,5.1739,1.038,0,0,0,0,0,0
51.5385,5.1739,1.041,0,0,0,1,0,0
51.5385,5.1739,1.044,0,0,0,0,0,0
