lat,lon,distance,laser1,laser2,laser3,laser4,laser5,laser6
0.0,0.0,0,0,0,0,0,0,0
51.5384,5.1738,1.205,0,0,0,1,0,0
51.5384,5.1738,1.213,0,0,0,0,0,0
51.5384,5.1738,1.218,0,0,0,1,0,0
51.5384,5.1738,1.225,0,0,0,0,0,0
51.5384,5.1738,1.227,0,0,1,0,0,0
51.5384,5.1738,1.235,0,0,0,0,0,0
51.5384,5.1738,1.239,0,0,1,0,0,0
51.5384,5.1738,1.246,0,0,0,0,0,0
51.5384,5.1738,1.250,0,1,0,0,0,0
51.5384,5.1738,1.258,0,0,0,0,0,0
51.5384,5.1738,1.260,0,1,0,0,0,0
51.5384,5.1738,1.267,0,0,0,0,0,0
51.5384,5.1738,1.272,1,0,0,0,0,0
51.5384,5.1738,1.272,1,1,0,0,0,0
51.5384,5.1738,1.275,1,0,0,0,0,0
51.5384,5.1738,1.278,0,0,0,0,0,0
51.5384,5.1738,1.280,1,0,0,0,0,0
51.5384,5.1738,1.286,0,0,0,0,0,0
51.5384,5.1738,1.291,1,0,0,0,0,0
51.5384,5.1738,1.295,0,0,0,0,0,0
51.5384,5.1738,1.685,1,0,0,0,0,0
51.5384,5.1738,1.692,0,0,0,0,0,0
51.5384,5.1738,1.703,0,1,0,0,0,0
51.5384,5.1738,1.718,0,0,0,0,0,0
51.5384,5.1738,1.725,0,1,0,0,0,0
51.5384,5.1738,1.742,0,0,0,0,0,0
51.5384,5.1738,1.746,0,0,1,0,0,0
51.5384,5.1738,1.760,0,0,0,0,0,0
51.5384,5.1738,1.769,0,0,1,0,0,0
51.5384,5.1738,1.783,0,0,1,1,0,0
51.5384,5.1738,1.785,0,0,0,1,0,0
51.5384,5.1738,1.797,0,0,0,0,0,0
51.5384,5.1738,1.806,0,0,0,1,0,0
51.5384,5.1738,1.819,0,0,0,1,1,0
51.5384,5.1738,1.821,0,0,1,1,1,0
51.5384,5.1738,1.822,0,0,1,0,1,0
51.5384,5.1738,1.828,0,0,0,0,1,0
51.5384,5.1738,1.829,0,0,0,0,0,0
51.5384,5.1738,1.836,0,0,0,0,1,0
51.5384,5.1738,1.852,0,0,0,0,0,0
51.5384,5.1738,1.861,0,0,0,1,0,0
51.5384,5.1738,1.875,0,0,0,0,0,0
51.5384,5.1738,1.992,0,0,0,0,0,1
51.5384,5.1738,2.000,0,0,0,0,0,0
51.5384,5.1738,2.020,0,0,0,0,1,0
51.5384,5.1738,2.033,0,0,0,0,0,0
51.5384,5.1738,2.037,0,0,0,0,1,0
51.5384,5.1738,2.048,0,0,0,0,0,0
51.5384,5.1738,2.049,0,0,0,1,0,0
51.5384,5.1738,2.059,0,0,0,0,0,0
51.5384,5.1738,2.062,0,0,0,1,0,0
51.5384,5.1738,2.071,0,0,0,0,0,0
51.5384,5.1738,2.075,0,0,1,0,0,0
51.5384,5.1738,2.077,0,0,1,1,0,0
51.5384,5.1738,2.080,0,0,1,0,0,0
51.5384,5.1738,2.085,0,0,0,0,0,0
51.5384,5.1738,2.088,0,0,1,0,0,0
51.5384,5.1738,2.097,0,0,0,0,0,0
51.5384,5.1738,2.102,0,0,1,0,0,0
51.5384,5.1738,2.103,0,1,1,0,0,0
51.5384,5.1738,2.109,0,1,0,0,0,0
51.5384,5.1738,2.113,0,0,0,0,0,0
51.5384,5.1738,2.115,0,1,0,0,0,0
51.5384,5.1738,2.124,0,0,0,0,0,0
51.5384,5.1738,2.127,0,1,0,0,0,0
51.5384,5.1738,2.130,1,1,0,0,0,0
51.5384,5.1738,2.136,1,0,0,0,0,0
51.5384,5.1738,2.138,0,0,0,0,0,0
51.5384,5.1738,2.141,1,0,0,0,0,0
51.5384,5.1738,2.149,0,0,0,0,0,0
51.5384,5.1738,2.153,1,0,0,0,0,0
51.5384,5.1738,2.159,0,0,0,0,0,0
51.5384,5.1738,2.537,1,0,0,0,0,0
51.5384,5.1738,2.545,0,0,0,0,0,0
51.5384,5.1738,2.550,1,0,0,0,0,0
51.5384,5.1738,2.558,0,0,0,0,0,0
51.5384,5.1738,2.561,1,0,0,0,0,0
51.5384,5.1738,2.562,1,1,0,0,0,0
51.5384,5.1738,2.568,0,1,0,0,0,0
51.5384,5.1738,2.570,0,0,0,0,0,0
51.5384,5.1738,2.572,0,1,0,0,0,0
51.5384,5.1738,2.579,0,0,0,0,0,0
51.5384,5.1738,2.582,0,1,0,0,0,0
51.5384,5.1738,2.583,0,1,1,0,0,0
51.5384,5.1738,2.588,0,1,0,0,0,0
51.5384,5.1738,2.590,0,0,0,0,0,0
51.5384,5.1738,2.592,0,0,1,0,0,0
51.5384,5.1738,2.597,0,0,0,0,0,0
51.5384,5.1738,2.602,0,0,1,0,0,0
51.5384,5.1738,2.607,0,0,1,1,0,0
51.5384,5.1738,2.609,0,0,0,1,0,0
51.5384,5.1738,2.613,0,0,0,0,0,0
51.5384,5.1738,2.618,0,0,0,1,0,0
51.5384,5.1738,2.623,0,0,0,0,0,0
51.5384,5.1738,2.633,0,0,0,0,1,0
51.5384,5.1738,2.635,0,0,0,0,0,0
51.5384,5.1738,2.754,0,0,0,1,0,0
51.5384,5.1738,2.758,0,0,0,0,0,0
51.5384,5.1738,2.766,0,0,1,0,0,0
51.5384,5.1738,2.771,0,0,0,0,0,0
51.5384,5.1738,2.773,0,0,1,0,0,0
51.5384,5.1738,2.777,0,0,0,0,0,0
51.5384,5.1738,2.780,0,1,0,0,0,0
51.5384,5.1738,2.785,0,0,0,0,0,0
51.5384,5.1738,2.786,0,1,0,0,0,0
51.5384,5.1738,2.791,0,0,0,0,0,0
51.5384,5.1738,2.794,1,0,0,0,0,0
51.5384,5.1738,2.799,0,0,0,0,0,0
51.5384,5.1738,2.800,1,0,0,0,0,0
51.5384,5.1738,2.804,0,0,0,0,0,0
51.5384,5.1738,3.081,1,0,0,0,0,0
51.5384,5.1738,3.084,0,0,0,0,0,0
51.5384,5.1738,3.086,1,0,0,0,0,0
51.5384,5.1738,3.091,0,0,0,0,0,0
51.5384,5.1738,3.092,0,1,0,0,0,0
51.5384,5.1738,3.093,1,1,0,0,0,0
51.5384,5.1738,3.096,1,0,0,0,0,0
51.5384,5.1738,3.098,0,0,0,0,0,0
51.5384,5.1738,3.099,0,1,0,0,0,0
51.5384,5.1738,3.104,0,0,0,0,0,0
