0,1,2,3,4,5,6,7,8
0.0,0.0,0,0,0,0,0,0,0
51.5385,5.1739,2.719,0,0,0,0,1,0
51.5385,5.1739,2.724,0,0,0,0,0,0
51.5385,5.1739,2.725,0,0,0,0,1,0
51.5385,5.1739,2.730,0,0,0,0,0,0
51.5385,5.1739,2.730,0,0,0,1,0,0
51.5385,5.1739,2.731,0,0,1,1,0,0
51.5385,5.1739,2.734,0,0,1,1,1,0
51.5385,5.1739,2.737,0,0,1,0,1,0
51.5385,5.1739,2.737,0,0,0,1,1,0
51.5385,5.1739,2.738,0,0,0,1,0,0
51.5385,5.1739,2.743,0,0,0,0,0,0
51.5385,5.1739,2.744,0,0,1,0,0,0
51.5385,5.1739,2.745,0,0,1,1,0,0
51.5385,5.1739,2.748,0,1,1,1,0,0
51.5385,5.1739,2.750,0,1,1,0,0,0
51.5385,5.1739,2.751,0,1,1,1,0,0
51.5385,5.1739,2.752,0,1,1,0,0,0
51.5385,5.1739,2.755,0,0,1,0,0,0
51.5385,5.1739,2.758,0,1,1,0,0,0
51.5385,5.1739,2.764,1,1,1,0,0,0
51.5385,5.1739,2.770,1,1,0,0,0,0
51.5385,5.1739,2.770,0,1,0,0,0,0
51.5385,5.1739,2.774,1,1,0,0,0,0
51.5385,5.1739,2.785,1,0,0,0,0,0
51.5385,5.1739,2.802,0,0,0,0,0,0
51.5385,5.1739,2.921,1,0,0,0,0,0
51.5385,5.1739,2.922,0,0,0,0,0,0
51.5385,5.1739,2.922,1,0,0,0,0,0
51.5385,5.1739,2.931,0,1,0,0,0,0
51.5385,5.1739,2.932,1,1,0,0,0,0
51.5385,5.1739,2.935,0,1,0,0,0,0
51.5385,5.1739,2.936,1,1,0,0,0,0
51.5385,5.1739,2.940,0,1,0,0,0,0
51.5385,5.1739,2.941,0,1,1,0,0,0
51.5385,5.1739,2.943,1,1,1,0,0,0
51.5385,5.1739,2.945,1,0,1,0,0,0
51.5385,5.1739,2.945,1,1,1,0,0,0
51.5385,5.1739,2.945,0,1,1,0,0,0
51.5385,5.1739,2.949,0,1,0,0,0,0
51.5385,5.1739,2.949,0,0,0,0,0,0
51.5385,5.1739,2.950,0,0,1,1,0,0
51.5385,5.1739,2.951,0,1,1,1,0,0
51.5385,5.1739,2.952,0,1,1,0,0,0
51.5385,5.1739,2.953,0,1,1,1,0,0
51.5385,5.1739,2.953,0,1,0,1,0,0
51.5385,5.1739,2.954,0,0,1,1,0,0
51.5385,5.1739,2.957,0,0,1,0,0,0
51.5385,5.1739,2.958,0,0,0,1,0,0
51.5385,5.1739,2.958,0,0,0,1,1,0
51.5385,5.1739,2.959,0,0,1,1,1,0
51.5385,5.1739,2.960,0,0,1,1,0,0
51.5385,5.1739,2.961,0,0,1,1,1,0
51.5385,5.1739,2.962,0,0,1,0,1,0
51.5385,5.1739,2.962,0,0,1,1,1,0
51.5385,5.1739,2.963,0,0,0,1,1,0
51.5385,5.1739,2.964,0,0,0,1,0,0
51.5385,5.1739,2.966,0,0,0,1,1,0
51.5385,5.1739,2.966,0,0,0,0,1,0
51.5385,5.1739,2.968,0,0,0,0,1,1
51.5385,5.1739,2.970,0,0,0,0,0,1
51.5385,5.1739,2.970,0,0,0,1,0,1
51.5385,5.1739,2.970,0,0,0,1,1,1
51.5385,5.1739,2.971,0,0,0,1,1,0
51.5385,5.1739,2.973,0,0,0,0,1,0
51.5385,5.1739,2.973,0,0,0,0,1,1
51.5385,5.1739,2.975,0,0,0,0,0,1
51.5385,5.1739,2.977,0,0,0,0,0,0
51.5385,5.1739,2.978,0,0,0,0,0,1
51.5385,5.1739,2.982,0,0,0,0,0,0
51.5385,5.1739,3.044,0,0,0,0,1,0
51.5385,5.1739,3.048,0,0,0,0,0,0
51.5385,5.1739,3.048,0,0,0,0,1,0
51.5385,5.1739,3.052,0,0,0,0,0,0
51.5385,5.1739,3.052,0,0,0,1,0,0
51.5385,5.1739,3.055,0,0,0,1,1,0
51.5385,5.1739,3.056,0,0,0,0,1,0
51.5385,5.1739,3.056,0,0,0,1,1,0
51.5385,5.1739,3.057,0,0,0,1,0,0
51.5385,5.1739,3.059,0,0,0,0,0,0
51.5385,5.1739,3.060,0,0,1,0,0,0
51.5385,5.1739,3.062,0,0,1,1,0,0
51.5385,5.1739,3.063,0,0,0,1,0,0
51.5385,5.1739,3.064,0,0,1,1,0,0
51.5385,5.1739,3.065,0,0,1,0,0,0
51.5385,5.1739,3.067,0,0,0,0,0,0
51.5385,5.1739,3.068,0,1,0,0,0,0
51.5385,5.1739,3.069,0,1,1,0,0,0
51.5385,5.1739,3.071,0,0,1,0,0,0
51.5385,5.1739,3.071,0,1,0,0,0,0
51.5385,5.1739,3.075,0,0,0,0,0,0
51.5385,5.1739,3.075,1,0,0,0,0,0
51.5385,5.1739,3.076,1,1,0,0,0,0
51.5385,5.1739,3.078,0,1,0,0,0,0
51.5385,5.1739,3.079,0,0,0,0,0,0
51.5385,5.1739,3.079,1,0,0,0,0,0
51.5385,5.1739,3.079,1,1,0,0,0,0
51.5385,5.1739,3.081,1,0,0,0,0,0
51.5385,5.1739,3.082,0,0,0,0,0,0
51.5385,5.1739,3.083,1,0,0,0,0,0
51.5385,5.1739,3.086,0,0,0,0,0,0
51.5385,5.1739,3.087,1,0,0,0,0,0
51.5385,5.1739,3.090,0,0,0,0,0,0
51.5385,5.1739,3.135,1,0,0,0,0,0
51.5385,5.1739,3.138,0,0,0,0,0,0
51.5385,5.1739,3.140,1,0,0,0,0,0
51.5385,5.1739,3.142,0,1,0,0,0,0
51.5385,5.1739,3.143,1,1,0,0,0,0
51.5385,5.1739,3.145,1,0,0,0,0,0
51.5385,5.1739,3.146,0,0,0,0,0,0
51.5385,5.1739,3.147,0,1,0,0,0,0
51.5385,5.1739,3.149,0,0,0,0,0,0
51.5385,5.1739,3.150,0,1,0,0,0,0
51.5385,5.1739,3.152,0,0,0,0,0,0
51.5385,5.1739,3.153,0,0,1,0,0,0
51.5385,5.1739,3.155,0,0,0,0,0,0
51.5385,5.1739,3.156,0,0,1,0,0,0
51.5385,5.1739,3.157,0,0,0,0,0,0
51.5385,5.1739,3.345,1,0,0,0,0,0
51.5385,5.1739,3.354,0,0,0,0,0,0
51.5385,5.1739,3.357,1,0,0,0,0,0
51.5385,5.1739,3.357,1,1,0,0,0,0
51.5385,5.1739,3.360,1,0,0,0,0,0
51.5385,5.1739,3.361,1,1,0,0,0,0
51.5385,5.1739,3.362,0,1,0,0,0,0
51.5385,5.1739,3.362,1,1,0,0,0,0
51.5385,5.1739,3.365,1,0,0,0,0,0
51.5385,5.1739,3.367,0,0,0,0,0,0
51.5385,5.1739,3.367,0,1,0,0,0,0
51.5385,5.1739,3.370,0,1,1,0,0,0
51.5385,5.1739,3.372,0,0,1,0,0,0
51.5385,5.1739,3.373,1,1,1,0,0,0
51.5385,5.1739,3.373,1,1,0,0,0,0
51.5385,5.1739,3.376,0,1,0,0,0,0
51.5385,5.1739,3.377,0,0,1,0,0,0
51.5385,5.1739,3.381,0,0,0,0,0,0
51.5385,5.1739,3.382,0,0,1,0,0,0
51.5385,5.1739,3.385,0,0,1,1,0,0
51.5385,5.1739,3.386,0,0,0,1,0,0
51.5385,5.1739,3.388,0,0,0,0,0,0
