lat,lon,distance,laser1,laser2,laser3,laser4,laser5,laser6
0.0,0.0,0.0,0,0,0,0,0,0
51.5385,5.1739,1.223,0,1,0,0,0,0
51.5385,5.1739,1.226,0,0,0,0,0,0
51.5385,5.1739,1.227,0,1,0,0,0,0
51.5385,5.1739,1.23,0,0,0,0,0,0
51.5385,5.1739,1.232,1,0,0,0,0,0
51.5385,5.1739,1.232,1,1,0,0,0,0
51.5385,5.1739,1.234,1,0,0,0,0,0
51.5385,5.1739,1.238,0,0,0,0,0,0
51.5385,5.1739,1.24,1,0,0,0,0,0
51.5385,5.1739,1.242,0,0,0,0,0,0
51.5385,5.1739,1.245,1,0,0,0,0,0
51.5385,5.1739,1.247,0,0,0,0,0,0
51.5385,5.1739,1.323,1,0,0,0,0,0
51.5385,5.1739,1.326,0,0,0,0,0,0
51.5385,5.1739,1.328,1,0,0,0,0,0
51.5385,5.1739,1.332,1,1,0,0,0,0
51.5385,5.1739,1.335,1,0,0,0,0,0
51.5385,5.1739,1.337,1,1,0,0,0,0
51.5385,5.1739,1.339,0,1,0,0,0,0
51.5385,5.1739,1.34,0,1,1,0,0,0
51.5385,5.1739,1.342,0,1,0,0,0,0
51.5385,5.1739,1.342,1,1,0,0,0,0
51.5385,5.1739,1.345,1,1,1,0,0,0
51.5385,5.1739,1.346,0,1,1,0,0,0
51.5385,5.1739,1.348,0,0,1,0,0,0
51.5385,5.1739,1.35,0,1,1,0,0,0
51.5385,5.1739,1.351,0,1,1,1,0,0
51.5385,5.1739,1.353,0,1,1,0,0,0
51.5385,5.1739,1.354,0,0,1,1,0,0
51.5385,5.1739,1.355,0,0,0,1,0,0
51.5385,5.1739,1.357,0,0,0,0,0,0
51.5385,5.1739,1.358,0,0,0,1,0,0
51.5385,5.1739,1.358,0,0,1,1,0,0
51.5385,5.1739,1.359,0,0,1,1,1,0
51.5385,5.1739,1.361,0,0,1,0,1,0
51.5385,5.1739,1.361,0,0,0,0,0,0
51.5385,5.1739,1.362,0,0,0,0,1,0
51.5385,5.1739,1.363,0,0,0,0,0,0
51.5385,5.1739,1.364,0,0,0,1,0,0
51.5385,5.1739,1.367,0,0,0,0,0,0
51.5385,5.1739,1.399,0,0,0,1,0,0
51.5385,5.1739,1.404,0,0,0,0,0,0
51.5385,5.1739,1.407,0,0,0,0,1,0
51.5385,5.1739,1.411,0,0,0,0,0,0
51.5385,5.1739,1.412,0,0,1,0,1,0
51.5385,5.1739,1.412,0,0,1,0,0,0
51.5385,5.1739,1.413,0,0,1,1,1,0
51.5385,5.1739,1.416,0,0,1,1,0,0
51.5385,5.1739,1.417,0,0,0,1,0,0
51.5385,5.1739,1.417,0,0,0,1,1,0
51.5385,5.1739,1.419,0,0,0,1,0,0
51.5385,5.1739,1.422,0,0,1,1,0,0
51.5385,5.1739,1.423,0,1,1,1,0,0
51.5385,5.1739,1.427,0,1,1,0,0,0
51.5385,5.1739,1.428,0,0,1,0,0,0
51.5385,5.1739,1.432,0,1,1,0,0,0
51.5385,5.1739,1.434,1,1,1,0,0,0
51.5385,5.1739,1.435,1,1,0,0,0,0
51.5385,5.1739,1.437,1,1,1,0,0,0
51.5385,5.1739,1.439,0,1,1,0,0,0
51.5385,5.1739,1.44,0,1,0,0,0,0
51.5385,5.1739,1.442,1,1,0,0,0,0
51.5385,5.1739,1.444,1,0,0,0,0,0
51.5385,5.1739,1.445,1,1,0,0,0,0
51.5385,5.1739,1.448,1,0,0,0,0,0
51.5385,5.1739,1.453,0,0,0,0,0,0
51.5385,5.1739,1.454,1,0,0,0,0,0
51.5385,5.1739,1.457,0,0,0,0,0,0
51.5385,5.1739,1.522,1,0,0,0,0,0
51.5385,5.1739,1.524,0,0,0,0,0,0
51.5385,5.1739,1.527,1,0,0,0,0,0
51.5385,5.1739,1.529,1,1,0,0,0,0
51.5385,5.1739,1.532,1,0,0,0,0,0
51.5385,5.1739,1.534,1,1,0,0,0,0
51.5385,5.1739,1.536,0,1,1,0,0,0
51.5385,5.1739,1.536,1,1,1,0,0,0
51.5385,5.1739,1.537,0,1,0,0,0,0
51.5385,5.1739,1.54,1,1,0,0,0,0
51.5385,5.1739,1.541,1,1,1,0,0,0
51.5385,5.1739,1.542,0,1,1,0,0,0
51.5385,5.1739,1.543,0,1,0,0,0,0
51.5385,5.1739,1.543,0,1,1,0,0,0
51.5385,5.1739,1.544,0,0,1,0,0,0
51.5385,5.1739,1.545,0,0,1,1,0,0
51.5385,5.1739,1.546,0,0,0,1,0,0
51.5385,5.1739,1.547,0,1,0,0,0,0
51.5385,5.1739,1.547,0,1,1,0,0,0
51.5385,5.1739,1.548,0,1,1,1,0,0
51.5385,5.1739,1.55,0,0,1,0,0,0
51.5385,5.1739,1.55,0,0,1,1,0,0
51.5385,5.1739,1.551,0,0,0,0,0,0
51.5385,5.1739,1.552,0,0,0,1,0,0
51.5385,5.1739,1.554,0,0,1,0,0,0
51.5385,5.1739,1.557,0,0,0,0,0,0
51.5385,5.1739,1.581,0,1,0,0,0,0
51.5385,5.1739,1.583,0,0,1,0,0,0
51.5385,5.1739,1.586,0,0,0,0,0,0
51.5385,5.1739,1.587,0,0,1,0,0,0
51.5385,5.1739,1.588,1,0,1,0,0,0
51.5385,5.1739,1.589,1,1,0,0,0,0
51.5385,5.1739,1.59,1,1,1,0,0,0
51.5385,5.1739,1.59,0,1,1,0,0,0
51.5385,5.1739,1.591,0,1,0,0,0,0
51.5385,5.1739,1.594,1,1,0,0,0,0
51.5385,5.1739,1.596,1,0,0,0,0,0
51.5385,5.1739,1.597,1,1,0,0,0,0
51.5385,5.1739,1.599,1,0,0,0,0,0
51.5385,5.1739,1.602,0,0,0,0,0,0
51.5385,5.1739,1.603,1,0,0,0,0,0
51.5385,5.1739,1.605,0,0,0,0,0,0
51.5385,5.1739,1.669,1,0,0,0,0,0
51.5385,5.1739,1.67,0,0,0,0,0,0
51.5385,5.1739,1.673,1,0,0,0,0,0
51.5385,5.1739,1.674,1,1,0,0,0,0
51.5385,5.1739,1.675,1,0,0,0,0,0
51.5385,5.1739,1.678,1,1,0,0,0,0
51.5385,5.1739,1.68,0,1,0,0,0,0
51.5385,5.1739,1.683,0,0,0,0,0,0
51.5385,5.1739,1.683,0,0,1,0,0,0
51.5385,5.1739,1.684,1,1,1,0,0,0
51.5385,5.1739,1.685,1,1,0,0,0,0
51.5385,5.1739,1.685,0,1,0,0,0,0
51.5385,5.1739,1.686,0,0,1,0,0,0
51.5385,5.1739,1.686,0,1,1,0,0,0
51.5385,5.1739,1.687,0,0,0,0,0,0
51.5385,5.1739,1.689,0,0,1,0,0,0
51.5385,5.1739,1.689,0,1,1,0,0,0
51.5385,5.1739,1.69,0,1,1,1,0,0
51.5385,5.1739,1.69,0,1,1,0,0,0
51.5385,5.1739,1.691,0,1,0,0,0,0
51.5385,5.1739,1.691,0,0,0,0,0,0
51.5385,5.1739,1.693,0,0,0,1,0,0
51.5385,5.1739,1.694,0,0,0,0,0,0
51.5385,5.1739,1.732,0,0,1,0,0,0
51.5385,5.1739,1.733,0,0,0,0,0,0
51.5385,5.1739,1.734,0,0,1,0,0,0
51.5385,5.1739,1.735,1,0,1,0,0,0
51.5385,5.1739,1.736,1,1,1,0,0,0
51.5385,5.1739,1.737,0,1,0,0,0,0
51.5385,5.1739,1.737,0,1,1,0,0,0
51.5385,5.1739,1.741,1,1,0,0,0,0
51.5385,5.1739,1.742,1,0,0,0,0,0
51.5385,5.1739,1.742,1,1,0,0,0,0
51.5385,5.1739,1.744,1,0,0,0,0,0
51.5385,5.1739,1.747,0,0,0,0,0,0
51.5385,5.1739,1.748,1,0,0,0,0,0
51.5385,5.1739,1.749,0,0,0,0,0,0
51.5385,5.1739,1.793,1,0,0,0,0,0
51.5385,5.1739,1.798,1,1,0,0,0,0
51.5385,5.1739,1.799,1,0,0,0,0,0
51.5385,5.1739,1.8,1,1,0,0,0,0
51.5385,5.1739,1.801,0,1,0,0,0,0
51.5385,5.1739,1.802,0,1,1,0,0,0
51.5385,5.1739,1.803,0,1,0,0,0,0
51.5385,5.1739,1.804,1,1,0,0,0,0
51.5385,5.1739,1.805,1,1,1,0,0,0
51.5385,5.1739,1.806,0,1,1,0,0,0
51.5385,5.1739,1.806,0,1,0,0,0,0
51.5385,5.1739,1.807,0,0,1,0,0,0
51.5385,5.1739,1.808,0,0,1,1,0,0
51.5385,5.1739,1.809,0,0,0,1,0,0
51.5385,5.1739,1.809,0,1,1,0,0,0
51.5385,5.1739,1.81,0,1,1,1,0,0
51.5385,5.1739,1.811,0,0,1,1,0,0
51.5385,5.1739,1.811,0,0,0,0,0,0
51.5385,5.1739,1.812,0,0,0,1,0,0
51.5385,5.1739,1.813,0,0,1,1,0,0
51.5385,5.1739,1.814,0,0,1,0,0,0
51.5385,5.1739,1.815,0,0,0,0,0,0
51.5385,5.1739,1.848,0,0,1,0,0,0
51.5385,5.1739,1.85,0,0,0,0,0,0
51.5385,5.1739,1.85,0,0,1,0,0,0
51.5385,5.1739,1.852,0,0,0,0,0,0
51.5385,5.1739,1.852,0,1,0,0,0,0
51.5385,5.1739,1.853,0,1,1,0,0,0
51.5385,5.1739,1.854,0,1,0,0,0,0
