lat,lon,distance,laser1,laser2,laser3,laser4,laser5,laser6
52.3993,4.6844,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.3993,4.6844,-0.0,1,1,1,1,0,0
52.3993,4.6844,0.006,1,1,1,1,1,0
52.3993,4.6844,0.01,1,1,1,1,0,0
52.3993,4.6844,0.013,1,1,1,1,0,1
52.3993,4.6844,0.015,1,1,1,1,0,0
52.3993,4.6844,0.015,1,1,1,1,1,0
52.3993,4.6844,0.016,1,1,1,1,0,0
52.3993,4.6844,0.049,1,1,1,1,1,0
52.3993,4.6844,0.05,1,1,1,0,1,0
52.3993,4.6844,0.053,1,1,1,0,0,0
52.3993,4.6844,0.056,1,1,1,0,1,0
52.3993,4.6844,0.057,1,1,1,1,1,0
52.3993,4.6844,0.067,1,1,1,1,0,0
52.3993,4.6844,0.079,1,1,1,0,0,0
52.3993,4.6844,0.084,1,1,1,0,1,0
52.3993,4.6844,0.087,1,1,1,1,1,0
52.3993,4.6844,0.094,1,1,1,1,0,0
52.3993,4.6844,0.111,1,1,1,0,0,0
52.3993,4.6844,0.114,1,1,1,0,1,0
52.3993,4.6844,0.116,1,1,1,1,1,0
52.3993,4.6844,0.118,1,1,1,1,0,0
52.3993,4.6844,0.12,1,1,1,0,0,0
52.3993,4.6844,0.122,1,1,1,1,0,0
52.3993,4.6844,0.144,1,1,1,0,0,0
52.3993,4.6844,0.148,1,1,1,1,0,0
52.3993,4.6844,0.158,1,1,1,1,1,0
52.3993,4.6844,0.16,1,1,1,1,0,0
52.3993,4.6844,0.169,1,1,1,0,0,0
52.3993,4.6844,0.191,1,1,1,1,0,0
52.3993,4.6844,0.199,1,1,1,1,1,0
52.3993,4.6844,0.212,1,1,1,1,0,0
52.3993,4.6844,0.218,1,1,1,0,0,0
52.3993,4.6844,0.218,1,1,1,0,1,0
52.3993,4.6844,0.223,1,1,1,0,0,0
52.3993,4.6844,0.239,1,1,1,0,1,0
52.3993,4.6844,0.24,1,1,1,0,0,0
52.3993,4.6844,0.242,1,1,1,0,1,0
52.3993,4.6844,0.248,1,1,1,0,0,0
52.3993,4.6844,0.249,1,1,1,1,0,0
52.3993,4.6844,0.255,1,1,1,1,1,0
52.3993,4.6844,0.258,1,1,1,1,0,0
52.3993,4.6844,0.27,1,1,1,1,1,0
52.3993,4.6844,0.272,1,1,1,0,1,0
52.3993,4.6844,0.274,1,1,1,0,0,0
52.3993,4.6844,0.276,1,1,1,1,0,0
52.3993,4.6844,0.285,1,1,1,1,1,0
52.3993,4.6844,0.288,1,1,1,1,0,0
52.3993,4.6844,0.295,1,1,1,1,1,0
52.3993,4.6844,0.297,1,1,0,1,1,0
52.3993,4.6844,0.298,1,1,0,1,0,0
52.3993,4.6844,0.298,1,1,1,1,0,0
52.3993,4.6844,0.3,1,1,1,1,1,0
52.3993,4.6844,0.301,1,1,1,0,1,0
52.3993,4.6844,0.303,1,1,1,1,1,0
52.3993,4.6844,0.307,1,1,1,1,0,0
52.3993,4.6844,0.31,1,1,1,0,0,0
